MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
6697,Arsenal,Stoke,4,1,70.8,29.2,9.0,2.0,26.0,4.0,849.0,453.0,663.0,258.0,18.0,25.0,14.0,34.0,6.0,0.0,0.0,1.0,1.0,0.0,10.0,11.0,0.0,0.0
6698,Aston Villa,Newcastle,1,0,52.8,47.2,2.0,4.0,14.0,10.0,621.0,551.0,381.0,346.0,16.0,19.0,56.0,31.0,5.0,3.0,3.0,0.0,0.0,1.0,9.0,10.0,0.0,1.0
6699,Blackburn,West Brom,0,0,48.8,51.2,1.0,2.0,10.0,17.0,536.0,582.0,315.0,337.0,20.0,11.0,16.0,30.0,4.0,9.0,3.0,3.0,0.0,1.0,14.0,11.0,1.0,0.0
6700,Fulham,Everton,0,2,50.4,49.6,4.0,10.0,15.0,18.0,671.0,653.0,423.0,408.0,14.0,15.0,28.0,20.0,2.0,2.0,2.0,5.0,0.0,0.0,16.0,12.0,0.0,0.0
6701,Hull,Man Utd,0,1,34.9,65.1,8.0,4.0,14.0,13.0,480.0,759.0,229.0,473.0,32.0,21.0,29.0,55.0,8.0,3.0,3.0,0.0,2.0,1.0,17.0,12.0,0.0,0.0
6702,Liverpool,Spurs,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6703,Man City,Bolton,1,0,61.6,38.4,11.0,1.0,29.0,9.0,705.0,495.0,428.0,239.0,22.0,27.0,44.0,27.0,15.0,9.0,3.0,1.0,0.0,0.0,9.0,11.0,0.0,0.0
6704,Sunderland,Chelsea,2,3,37.1,62.9,4.0,10.0,12.0,19.0,580.0,830.0,320.0,574.0,29.0,15.0,27.0,34.0,6.0,7.0,3.0,0.0,1.0,1.0,8.0,7.0,0.0,0.0
6705,West Ham,Middlesbrough,2,1,52.1,47.9,5.0,5.0,16.0,18.0,703.0,657.0,430.0,387.0,20.0,20.0,47.0,14.0,4.0,5.0,5.0,0.0,0.0,1.0,16.0,10.0,0.0,0.0
6706,Wigan,Portsmouth,1,0,53.4,46.6,7.0,1.0,21.0,9.0,572.0,517.0,314.0,270.0,28.0,17.0,34.0,52.0,9.0,2.0,1.0,1.0,0.0,4.0,9.0,23.0,0.0,0.0
6696,Portsmouth,Sunderland,3,1,43.9,56.1,2.0,7.0,9.0,24.0,609.0,695.0,367.0,490.0,19.0,29.0,50.0,28.0,5.0,6.0,0.0,1.0,1.0,0.0,11.0,7.0,0.0,0.0
6695,West Brom,Liverpool,0,2,36.7,63.3,4.0,8.0,14.0,19.0,593.0,835.0,298.0,559.0,21.0,38.0,37.0,41.0,11.0,5.0,4.0,2.0,2.0,0.0,14.0,4.0,0.0,0.0
6694,Chelsea,Blackburn,2,0,58.5,41.5,8.0,3.0,23.0,10.0,818.0,635.0,548.0,383.0,24.0,22.0,36.0,27.0,2.0,4.0,2.0,2.0,1.0,2.0,7.0,6.0,0.0,0.0
6689,Man Utd,Arsenal,0,0,39.4,60.6,0.0,4.0,10.0,14.0,613.0,833.0,346.0,542.0,21.0,27.0,36.0,23.0,2.0,6.0,4.0,0.0,0.0,5.0,14.0,18.0,0.0,0.0
6687,Bolton,Hull,1,1,46.9,53.1,5.0,8.0,15.0,21.0,562.0,578.0,290.0,312.0,24.0,20.0,81.0,45.0,5.0,7.0,2.0,4.0,2.0,2.0,15.0,9.0,0.0,0.0
6688,Everton,West Ham,3,1,65.6,34.4,7.0,4.0,19.0,11.0,828.0,528.0,560.0,296.0,17.0,18.0,42.0,39.0,6.0,3.0,1.0,4.0,1.0,2.0,15.0,15.0,0.0,1.0
6690,Middlesbrough,Aston Villa,1,1,50.2,49.8,3.0,5.0,14.0,10.0,611.0,627.0,326.0,310.0,21.0,26.0,43.0,57.0,6.0,9.0,3.0,3.0,0.0,2.0,15.0,18.0,0.0,0.0
6691,Newcastle,Fulham,0,1,52.5,47.5,5.0,3.0,16.0,13.0,689.0,668.0,428.0,414.0,15.0,23.0,7.0,64.0,6.0,2.0,0.0,3.0,0.0,3.0,6.0,18.0,1.0,0.0
6692,Stoke,Wigan,2,0,47.0,53.0,6.0,1.0,17.0,10.0,576.0,651.0,306.0,358.0,23.0,26.0,28.0,57.0,6.0,3.0,0.0,2.0,0.0,0.0,10.0,13.0,0.0,0.0
6693,Spurs,Man City,2,1,52.1,47.9,6.0,4.0,16.0,12.0,753.0,693.0,455.0,423.0,20.0,25.0,31.0,31.0,4.0,7.0,3.0,2.0,0.0,1.0,5.0,8.0,0.0,0.0
