MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away,year,Expenditures_home,Arrivals_home,Income_home,Departures_home,Expenditures_away,Arrivals_away,Income_away,Departures_away
5937,Blackburn,Reading,3,3,54.0,46.0,6,4,15,11,553,464,356,287,22,13,33,19,5,10,5,3,2,0,18,7,0,0,2007,18.84,21,19.28,25,10.52,25,0.0,19
5938,Bolton,Aston Villa,2,2,47.1,52.9,2,2,11,7,457,493,318,343,24,15,23,20,7,6,0,2,2,1,10,11,0,0,2007,19.38,16,4.39,16,28.16,17,2.08,18
5939,Chelsea,Everton,1,1,59.3,40.7,7,6,20,11,615,471,425,305,23,22,10,28,10,2,6,2,2,1,13,7,0,0,2007,101.43,23,59.96,22,20.41,11,2.85,16
5940,Liverpool,Charlton,2,2,61.6,38.4,5,4,23,9,632,420,453,271,20,14,22,29,9,2,6,4,0,0,5,13,0,0,2007,52.44,27,23.94,28,24.68,31,2.59,36
5941,Man Utd,West Ham,0,1,65.3,34.7,7,2,30,8,825,506,619,333,28,26,18,47,14,3,0,1,0,2,13,12,0,0,2007,31.01,25,20.52,29,79.63,22,7.7,23
5942,Middlesbrough,Fulham,3,1,56.9,43.1,5,2,21,8,556,399,384,281,11,18,14,20,10,3,4,0,1,0,11,13,0,0,2007,12.88,20,5.33,24,15.73,19,11.99,26
5943,Portsmouth,Arsenal,0,0,36.5,63.5,4,5,12,13,378,610,230,413,22,24,21,28,2,6,6,7,0,0,19,16,0,0,2007,10.37,28,1.43,32,17.1,18,14.85,21
5944,Sheffield Utd,Wigan,1,2,58.1,41.9,2,4,14,11,529,470,341,257,10,33,19,82,10,3,3,0,3,4,13,21,0,1,2007,20.55,35,3.79,38,29.24,23,27.73,25
5945,Spurs,Man City,2,1,50.2,49.8,4,3,9,10,647,609,472,460,28,24,34,22,6,6,5,0,1,1,11,13,0,0,2007,69.54,23,44.06,23,7.41,19,4.79,25
5946,Watford,Newcastle,1,1,40.3,59.7,1,1,12,3,408,565,287,427,10,17,8,13,8,5,4,1,2,4,17,10,0,0,2007,11.97,29,15.39,23,36.34,8,12.74,14
5936,Spurs,Blackburn,1,1,58.8,41.2,5,2,16,10,701,510,493,333,33,29,23,26,6,6,6,2,0,2,6,18,0,1,2007,69.54,23,44.06,23,18.84,21,19.28,25
5935,Chelsea,Man Utd,0,0,59.7,40.3,7,1,23,7,682,488,515,345,22,22,13,32,8,1,3,1,3,4,18,21,0,0,2007,101.43,23,59.96,22,31.01,25,20.52,29
5934,Charlton,Spurs,0,2,49.4,50.6,2,4,9,10,668,711,467,503,20,23,23,77,11,5,4,5,0,0,9,5,0,0,2007,24.68,31,2.59,36,69.54,23,44.06,23
5933,Arsenal,Chelsea,1,1,52.8,47.2,3,3,14,10,636,578,453,405,33,23,29,16,3,7,3,10,1,2,19,13,0,1,2007,17.1,18,14.85,21,101.43,23,59.96,22
5928,Man City,Man Utd,0,1,40.3,59.7,3,2,8,8,526,676,343,515,40,18,27,28,5,3,2,4,2,2,13,11,0,0,2007,7.41,19,4.79,25,31.01,25,20.52,29
5926,Everton,Portsmouth,3,0,50.0,50.0,6,4,16,13,471,451,302,300,19,17,29,31,9,8,3,1,3,3,11,20,0,0,2007,20.41,11,2.85,16,10.37,28,1.43,32
5927,Fulham,Liverpool,1,0,38.2,61.8,3,4,9,12,370,593,255,409,19,20,9,29,4,14,6,5,1,2,18,15,1,0,2007,15.73,19,11.99,26,52.44,27,23.94,28
5929,Newcastle,Blackburn,0,2,61.4,38.6,6,5,15,10,623,439,442,267,22,33,21,30,5,2,3,4,1,3,14,18,0,0,2007,36.34,8,12.74,14,18.84,21,19.28,25
5930,Reading,Watford,0,2,55.3,44.7,4,3,17,5,492,388,310,267,15,18,15,23,14,2,2,2,0,2,12,17,0,0,2007,10.52,25,0.0,19,11.97,29,15.39,23
5931,West Ham,Bolton,3,1,48.4,51.6,8,2,11,12,436,415,259,281,22,17,33,21,5,3,7,1,2,5,22,24,0,0,2007,79.63,22,7.7,23,19.38,16,4.39,16
5932,Wigan,Middlesbrough,0,1,54.4,45.6,3,3,13,7,452,426,318,272,14,25,14,55,5,3,2,0,3,0,17,11,0,0,2007,29.24,23,27.73,25,12.88,20,5.33,24
5925,Aston Villa,Sheffield Utd,3,0,59.0,41.0,8,0,24,11,568,453,384,267,13,27,21,37,13,5,0,0,2,2,16,14,0,0,2007,28.16,17,2.08,18,20.55,35,3.79,38
5924,Reading,Newcastle,1,0,39.6,60.4,2,3,14,18,478,660,281,449,30,25,30,32,8,10,1,7,2,0,13,12,0,0,2007,10.52,25,0.0,19,36.34,8,12.74,14
5923,Arsenal,Fulham,3,1,57.5,42.5,8,3,15,15,674,504,477,343,26,29,41,16,7,6,5,2,2,4,6,12,0,0,2007,17.1,18,14.85,21,15.73,19,11.99,26
5916,Chelsea,Bolton,2,2,63.4,36.6,3,3,18,12,669,461,488,270,23,23,22,37,11,2,4,1,0,3,10,10,0,0,2007,101.43,23,59.96,22,19.38,16,4.39,16
5917,Everton,Man Utd,2,4,37.6,62.4,3,10,10,18,457,683,305,523,18,21,24,22,4,9,3,2,1,1,18,13,0,0,2007,20.41,11,2.85,16,31.01,25,20.52,29
5915,Blackburn,Charlton,4,1,51.6,48.4,5,1,20,8,538,508,374,358,19,23,15,33,7,2,2,4,1,0,16,6,0,1,2007,18.84,21,19.28,25,24.68,31,2.59,36
5918,Man City,Aston Villa,0,2,54.8,45.2,4,3,17,14,473,475,329,272,18,16,24,47,5,6,2,5,2,0,16,9,0,0,2007,7.41,19,4.79,25,28.16,17,2.08,18
5919,Middlesbrough,Spurs,2,3,48.4,51.6,6,4,22,12,529,560,373,417,16,20,11,20,7,3,1,3,1,1,11,11,0,0,2007,12.88,20,5.33,24,69.54,23,44.06,23
5920,Portsmouth,Liverpool,2,1,38.0,62.0,6,2,9,10,450,652,286,489,26,21,37,27,7,6,7,4,1,1,12,9,0,0,2007,10.37,28,1.43,32,52.44,27,23.94,28
5921,Sheffield Utd,Watford,1,0,51.3,48.7,6,3,11,21,450,449,272,255,21,20,35,28,5,8,6,3,1,4,11,18,0,0,2007,20.55,35,3.79,38,11.97,29,15.39,23
5922,Wigan,West Ham,0,3,55.4,44.6,3,5,16,13,558,535,384,322,20,25,15,64,5,1,0,2,1,2,7,18,0,0,2007,29.24,23,27.73,25,79.63,22,7.7,23
5914,Newcastle,Chelsea,0,0,48.2,51.8,1,0,10,11,566,589,393,436,33,26,33,23,4,2,0,1,0,3,16,16,0,0,2007,36.34,8,12.74,14,101.43,23,59.96,22
5913,Aston Villa,Portsmouth,0,0,52.3,47.7,4,0,19,5,566,537,396,373,17,20,16,41,15,3,7,1,0,1,10,22,0,0,2007,28.16,17,2.08,18,10.37,28,1.43,32
5905,Bolton,Reading,1,3,56.9,43.1,6,5,17,10,442,392,318,238,14,13,12,32,7,4,2,2,0,2,17,13,0,0,2007,19.38,16,4.39,16,10.52,25,0.0,19
5906,Charlton,Sheffield Utd,1,1,54.7,45.3,3,2,13,14,507,449,343,278,18,27,30,22,8,3,1,1,5,3,19,16,0,0,2007,24.68,31,2.59,36,20.55,35,3.79,38
5907,Fulham,Blackburn,1,1,46.8,53.2,4,7,16,19,386,434,227,253,16,14,42,25,6,11,2,4,1,1,16,19,0,0,2007,15.73,19,11.99,26,18.84,21,19.28,25
5908,Liverpool,Wigan,2,0,67.2,32.8,8,3,26,4,739,385,543,261,16,27,31,10,12,3,4,3,2,2,11,11,0,0,2007,52.44,27,23.94,28,29.24,23,27.73,25
5911,Watford,Man City,1,1,54.4,45.6,1,1,7,8,486,405,299,255,20,11,29,41,5,3,5,5,1,1,10,6,0,0,2007,11.97,29,15.39,23,7.41,19,4.79,25
5909,Man Utd,Middlesbrough,1,1,55.8,44.2,1,3,23,10,649,550,486,389,19,19,27,29,6,7,5,2,2,5,13,17,0,0,2007,31.01,25,20.52,29,12.88,20,5.33,24
5910,Spurs,Arsenal,2,2,40.0,60.0,3,3,10,18,529,712,350,528,37,33,36,26,4,6,4,2,2,2,11,6,0,0,2007,69.54,23,44.06,23,17.1,18,14.85,21
5912,West Ham,Everton,1,0,49.4,50.6,2,0,18,13,533,542,335,345,25,24,35,32,5,7,1,0,2,1,19,12,0,0,2007,79.63,22,7.7,23,20.41,11,2.85,16
5902,Blackburn,Watford,3,1,48.4,51.6,6,5,20,6,419,442,260,280,24,13,34,16,5,4,8,5,0,0,8,16,0,0,2007,18.84,21,19.28,25,11.97,29,15.39,23
5903,Liverpool,Middlesbrough,2,0,64.7,35.3,4,2,24,6,716,472,563,310,18,20,13,35,8,2,2,3,0,1,9,15,0,0,2007,52.44,27,23.94,28,12.88,20,5.33,24
5904,West Ham,Chelsea,1,4,43.3,56.7,4,9,13,18,524,652,326,462,31,21,25,42,9,5,0,4,5,2,21,9,0,0,2007,79.63,22,7.7,23,101.43,23,59.96,22
5900,Arsenal,Man City,3,1,65.1,34.9,6,4,14,11,854,516,681,355,30,28,25,19,7,3,1,4,0,0,7,9,0,0,2007,17.1,18,14.85,21,7.41,19,4.79,25
5901,Man Utd,Sheffield Utd,2,0,67.8,32.2,9,2,17,11,833,478,672,316,28,27,13,21,4,1,0,0,3,3,9,13,0,0,2007,31.01,25,20.52,29,20.55,35,3.79,38
5899,Wigan,Spurs,3,3,49.6,50.4,6,6,28,12,460,498,313,323,11,19,21,41,5,5,1,7,3,0,19,8,0,0,2007,29.24,23,27.73,25,69.54,23,44.06,23
5898,Everton,Charlton,2,1,61.6,38.4,5,6,25,13,637,448,403,261,13,28,30,57,7,4,4,8,0,3,8,15,0,0,2007,20.41,11,2.85,16,24.68,31,2.59,36
5892,Arsenal,Bolton,2,1,65.0,35.0,7,2,19,6,684,432,523,267,26,25,23,20,2,5,3,2,2,2,7,18,0,1,2007,17.1,18,14.85,21,19.38,16,4.39,16
5893,Man City,Liverpool,0,0,36.8,63.2,0,2,7,11,377,601,257,462,21,17,18,31,4,5,5,0,1,2,13,16,0,0,2007,7.41,19,4.79,25,52.44,27,23.94,28
5894,Middlesbrough,Aston Villa,1,3,50.3,49.7,4,6,14,9,485,498,376,356,19,23,21,16,2,4,1,5,2,1,20,11,0,0,2007,12.88,20,5.33,24,28.16,17,2.08,18
5895,Portsmouth,Newcastle,2,1,49.4,50.6,3,4,19,10,449,485,321,337,19,21,10,20,10,5,0,2,2,0,12,8,0,0,2007,10.37,28,1.43,32,36.34,8,12.74,14
5896,Reading,Fulham,1,0,48.7,51.3,5,3,12,17,421,476,269,279,22,16,7,36,10,6,8,9,2,1,10,7,0,0,2007,10.52,25,0.0,19,15.73,19,11.99,26
5897,Sheffield Utd,West Ham,3,0,51.3,48.7,4,1,8,12,458,457,306,305,16,18,21,33,4,2,4,1,2,3,15,12,0,0,2007,20.55,35,3.79,38,79.63,22,7.7,23
5891,Watford,Portsmouth,4,2,49.2,50.8,10,5,16,11,477,500,292,318,23,20,27,32,6,2,9,7,0,0,15,15,0,0,2007,11.97,29,15.39,23,10.37,28,1.43,32
5886,Aston Villa,Wigan,1,1,67.1,32.9,6,1,16,3,591,372,446,225,9,14,5,51,13,1,4,0,2,3,12,13,0,1,2007,28.16,17,2.08,18,29.24,23,27.73,25
5887,Bolton,Everton,1,1,54.2,45.8,3,4,7,9,492,428,318,271,17,21,47,35,7,7,1,0,3,1,18,21,0,0,2007,19.38,16,4.39,16,20.41,11,2.85,16
5889,Fulham,Man City,1,3,62.0,38.0,2,5,15,9,635,499,426,264,24,33,33,72,7,4,0,9,1,3,12,15,0,0,2007,15.73,19,11.99,26,7.41,19,4.79,25
5890,Newcastle,Arsenal,0,0,47.0,53.0,1,3,8,10,556,599,372,434,32,26,20,37,3,6,6,3,1,2,17,15,0,0,2007,36.34,8,12.74,14,17.1,18,14.85,21
5888,Charlton,Reading,0,0,48.9,51.1,5,3,8,17,532,559,321,329,30,20,64,30,1,11,3,2,1,0,13,14,0,0,2007,24.68,31,2.59,36,10.52,25,0.0,19
5880,Chelsea,Spurs,1,0,54.7,45.3,6,4,14,9,629,558,467,385,30,32,16,31,11,7,2,2,2,1,15,12,0,0,2007,101.43,23,59.96,22,69.54,23,44.06,23
5878,Arsenal,West Ham,0,1,62.4,37.6,11,4,35,6,743,542,542,329,34,26,19,59,14,1,0,4,0,1,13,16,0,0,2007,17.1,18,14.85,21,79.63,22,7.7,23
5879,Blackburn,Aston Villa,1,2,58.2,41.8,2,7,11,13,580,468,423,300,17,21,28,29,4,10,2,4,2,1,20,12,0,0,2007,18.84,21,19.28,25,28.16,17,2.08,18
5881,Middlesbrough,Watford,4,1,56.9,43.1,12,3,25,6,535,396,353,254,20,19,20,24,9,3,3,2,0,0,7,16,0,0,2007,12.88,20,5.33,24,11.97,29,15.39,23
5883,Reading,Liverpool,1,2,48.8,51.2,3,3,12,8,538,556,328,364,29,28,28,35,7,6,6,4,2,1,12,16,0,0,2007,10.52,25,0.0,19,52.44,27,23.94,28
5884,Sheffield Utd,Newcastle,1,2,53.7,46.3,4,2,24,10,525,491,346,300,16,23,22,24,5,4,2,3,1,1,11,14,0,0,2007,20.55,35,3.79,38,36.34,8,12.74,14
5885,Wigan,Bolton,1,3,51.1,48.9,2,6,18,10,412,442,283,264,12,11,10,31,9,5,2,3,0,3,13,14,0,0,2007,29.24,23,27.73,25,19.38,16,4.39,16
5882,Portsmouth,Man Utd,2,1,43.2,56.8,8,8,16,21,565,675,350,489,33,27,30,36,8,7,2,3,3,2,13,3,0,0,2007,10.37,28,1.43,32,31.01,25,20.52,29
5877,Man City,Charlton,0,0,51.4,48.6,4,0,14,2,548,522,344,320,26,28,46,33,14,7,0,5,0,0,14,11,0,0,2007,7.41,19,4.79,25,24.68,31,2.59,36
5876,Everton,Fulham,4,1,44.0,56.0,9,4,16,17,491,556,297,377,24,26,33,27,4,10,4,0,0,0,19,12,0,0,2007,20.41,11,2.85,16,15.73,19,11.99,26
5875,Aston Villa,Everton,1,1,57.5,42.5,5,4,18,19,662,562,445,329,33,32,38,67,5,6,2,1,3,3,19,16,0,0,2007,28.16,17,2.08,18,20.41,11,2.85,16
5874,Spurs,Reading,1,0,56.9,43.1,9,1,21,8,642,467,412,305,25,21,66,33,5,7,11,1,1,0,8,7,0,0,2007,69.54,23,44.06,23,10.52,25,0.0,19
5866,Bolton,Sheffield Utd,1,0,58.0,42.0,8,3,22,7,594,452,375,282,19,21,37,49,11,4,0,2,1,3,9,12,0,0,2007,19.38,16,4.39,16,20.55,35,3.79,38
5867,Charlton,Wigan,1,0,54.2,45.8,2,1,7,14,494,392,321,272,13,20,48,6,4,9,3,1,1,3,11,19,0,0,2007,24.68,31,2.59,36,29.24,23,27.73,25
5868,Fulham,Portsmouth,1,1,56.1,43.9,7,6,16,10,505,406,283,236,22,18,46,29,6,4,5,7,1,0,14,21,0,0,2007,15.73,19,11.99,26,10.37,28,1.43,32
5870,Man Utd,Blackburn,4,1,63.0,37.0,10,2,26,6,701,446,526,312,26,30,11,20,8,1,5,2,1,3,8,14,0,0,2007,31.01,25,20.52,29,18.84,21,19.28,25
5871,Newcastle,Man City,0,1,61.3,38.7,0,3,12,6,641,444,500,326,21,17,11,28,8,1,2,4,1,3,9,16,0,0,2007,36.34,8,12.74,14,7.41,19,4.79,25
5873,West Ham,Middlesbrough,2,0,53.0,47.0,6,1,10,12,527,425,315,270,27,23,55,28,3,4,9,2,0,1,11,17,0,0,2007,79.63,22,7.7,23,12.88,20,5.33,24
5872,Watford,Chelsea,0,1,33.9,66.1,3,7,11,17,431,600,198,408,35,18,69,20,5,10,1,3,1,3,17,11,0,0,2007,11.97,29,15.39,23,101.43,23,59.96,22
5869,Liverpool,Arsenal,4,1,45.3,54.7,7,3,13,15,590,693,411,503,40,26,20,26,2,7,0,3,1,3,17,9,0,0,2007,52.44,27,23.94,28,17.1,18,14.85,21
5864,Charlton,Newcastle,2,0,35.5,64.5,4,1,13,16,460,619,237,437,24,27,64,29,5,5,2,0,1,2,14,23,0,0,2007,24.68,31,2.59,36,36.34,8,12.74,14
5863,Aston Villa,Liverpool,0,0,40.3,59.7,1,2,10,7,543,701,351,533,25,36,39,21,2,6,3,2,2,3,13,12,0,0,2007,28.16,17,2.08,18,52.44,27,23.94,28
5865,Everton,Arsenal,1,0,43.2,56.8,3,6,11,22,536,669,334,448,37,41,37,46,5,4,5,0,6,0,17,13,0,0,2007,20.41,11,2.85,16,17.1,18,14.85,21
5858,Man Utd,Bolton,4,1,50.2,49.8,7,1,15,8,574,505,384,378,17,18,52,14,1,5,3,2,1,2,16,13,0,0,2007,31.01,25,20.52,29,19.38,16,4.39,16
5857,Chelsea,Sheffield Utd,3,0,67.3,32.7,6,5,13,8,722,381,554,252,18,33,19,18,5,1,3,2,0,0,7,10,0,0,2007,101.43,23,59.96,22,20.55,35,3.79,38
5859,Middlesbrough,Man City,0,2,48.6,51.4,3,4,13,13,433,473,306,331,15,20,20,28,10,3,0,2,1,2,14,22,0,0,2007,12.88,20,5.33,24,7.41,19,4.79,25
5860,Reading,Portsmouth,0,0,47.7,52.3,0,4,7,12,446,520,309,351,23,16,2,40,10,4,2,5,1,1,13,13,0,0,2007,10.52,25,0.0,19,10.37,28,1.43,32
5861,Spurs,Watford,3,1,62.3,37.7,10,2,18,4,663,394,474,273,12,23,37,12,5,4,6,1,0,0,6,10,0,0,2007,69.54,23,44.06,23,11.97,29,15.39,23
5862,Wigan,Fulham,0,0,51.1,48.9,1,0,7,3,509,444,305,299,12,15,58,42,7,1,6,5,1,0,15,7,0,0,2007,29.24,23,27.73,25,15.73,19,11.99,26
5856,Blackburn,West Ham,1,2,53.2,46.8,4,7,10,16,499,465,323,301,14,15,34,38,10,9,2,1,3,4,19,22,1,0,2007,18.84,21,19.28,25,79.63,22,7.7,23
5854,Aston Villa,Arsenal,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,28.16,17,2.08,18,17.1,18,14.85,21
5855,Man City,Chelsea,0,1,50.3,49.7,1,4,8,7,556,574,367,376,18,22,21,56,5,4,3,2,3,2,10,15,0,0,2007,7.41,19,4.79,25,101.43,23,59.96,22
5852,Bolton,Blackburn,1,2,57.3,42.7,6,4,19,12,593,485,405,310,17,19,15,51,8,0,8,4,1,0,13,12,0,0,2007,19.38,16,4.39,16,18.84,21,19.28,25
5853,West Ham,Spurs,3,4,51.6,48.4,4,8,13,16,498,496,329,313,21,31,35,34,6,3,3,7,6,2,16,13,0,0,2007,79.63,22,7.7,23,69.54,23,44.06,23
5846,Liverpool,Man Utd,0,1,57.1,42.9,4,3,15,6,659,564,470,374,31,30,20,54,12,2,2,1,2,2,11,13,0,1,2007,52.44,27,23.94,28,31.01,25,20.52,29
5844,Arsenal,Reading,2,1,66.6,33.4,5,4,19,8,713,381,502,247,24,34,34,15,16,7,3,0,1,1,10,17,0,0,2007,17.1,18,14.85,21,10.52,25,0.0,19
5845,Fulham,Aston Villa,1,1,53.5,46.5,7,2,13,9,514,456,343,290,22,18,48,24,5,8,3,8,0,2,10,20,0,0,2007,15.73,19,11.99,26,28.16,17,2.08,18
5847,Man City,Wigan,0,1,57.9,42.1,4,4,9,14,594,440,406,298,18,18,29,42,9,4,0,1,3,2,14,15,0,0,2007,7.41,19,4.79,25,29.24,23,27.73,25
5848,Newcastle,Middlesbrough,0,0,63.1,36.9,4,1,12,7,613,401,434,262,26,22,19,32,8,2,2,6,0,3,14,14,0,0,2007,36.34,8,12.74,14,12.88,20,5.33,24
5850,Sheffield Utd,Everton,1,1,51.1,48.9,4,2,9,10,437,454,298,274,16,19,34,29,5,6,1,2,3,2,21,16,0,0,2007,20.55,35,3.79,38,20.41,11,2.85,16
5851,Watford,Charlton,2,2,49.8,50.2,7,6,14,18,476,498,281,302,24,14,16,52,8,1,6,2,2,2,18,11,0,0,2007,11.97,29,15.39,23,24.68,31,2.59,36
5849,Portsmouth,Chelsea,0,2,43.4,56.6,4,4,10,10,558,689,369,502,29,23,27,52,7,5,2,2,0,2,10,11,0,0,2007,10.37,28,1.43,32,101.43,23,59.96,22
5843,Wigan,Newcastle,1,0,49.4,50.6,4,6,12,12,499,493,297,307,20,20,39,41,8,6,1,3,5,1,18,15,0,0,2007,29.24,23,27.73,25,36.34,8,12.74,14
5841,Blackburn,Portsmouth,3,0,47.9,52.1,7,4,15,15,497,541,346,384,20,22,10,24,8,4,4,1,2,3,14,17,0,0,2007,18.84,21,19.28,25,10.37,28,1.43,32
5842,Spurs,Bolton,4,1,44.3,55.7,8,5,15,19,557,544,322,395,15,15,67,11,5,5,5,1,0,4,3,21,1,0,2007,69.54,23,44.06,23,19.38,16,4.39,16
5837,Fulham,Man Utd,1,2,43.7,56.3,7,6,19,17,464,598,306,393,30,23,22,35,3,7,0,2,3,2,16,12,0,0,2007,15.73,19,11.99,26,31.01,25,20.52,29
5836,Charlton,West Ham,4,0,48.4,51.6,4,6,14,13,458,456,279,310,27,17,35,33,7,6,4,1,3,2,16,8,0,0,2007,24.68,31,2.59,36,79.63,22,7.7,23
5838,Liverpool,Sheffield Utd,4,0,65.2,34.8,6,3,11,6,678,404,493,257,33,36,22,27,5,1,3,8,0,2,12,11,0,0,2007,52.44,27,23.94,28,20.55,35,3.79,38
5839,Middlesbrough,Reading,2,1,51.5,48.5,7,2,13,10,519,514,363,349,20,22,23,26,9,5,3,6,1,1,11,13,0,0,2007,12.88,20,5.33,24,10.52,25,0.0,19
5840,Watford,Everton,0,3,55.0,45.0,2,6,14,14,501,453,312,248,20,27,39,58,5,9,3,3,2,1,10,16,0,0,2007,11.97,29,15.39,23,20.41,11,2.85,16
5835,Watford,Wigan,1,1,54.4,45.6,5,8,13,13,502,401,299,274,11,14,57,29,8,3,2,2,1,1,12,12,0,1,2007,11.97,29,15.39,23,29.24,23,27.73,25
5834,Everton,Spurs,1,2,45.2,54.8,3,4,17,8,522,601,342,425,15,17,31,48,5,1,0,1,2,1,9,13,0,0,2007,20.41,11,2.85,16,69.54,23,44.06,23
5833,Bolton,Fulham,2,1,47.6,52.4,4,5,10,10,525,528,337,380,20,17,29,35,9,8,3,0,1,4,13,12,0,0,2007,19.38,16,4.39,16,15.73,19,11.99,26
5832,Arsenal,Wigan,2,1,63.8,36.2,4,3,15,11,665,442,482,282,10,32,29,43,10,1,6,3,6,3,10,17,0,0,2007,17.1,18,14.85,21,29.24,23,27.73,25
5824,Chelsea,Middlesbrough,3,0,58.9,41.1,5,0,20,4,626,437,411,280,31,23,44,40,5,1,0,1,0,1,6,15,0,0,2007,101.43,23,59.96,22,12.88,20,5.33,24
5825,Everton,Blackburn,1,0,51.2,48.8,6,3,15,9,527,458,329,307,28,17,42,17,3,10,2,1,2,1,15,13,0,0,2007,20.41,11,2.85,16,18.84,21,19.28,25
5826,Man Utd,Charlton,2,0,70.3,29.7,10,2,19,9,723,349,566,232,12,21,28,17,5,3,2,1,0,1,11,8,0,0,2007,31.01,25,20.52,29,24.68,31,2.59,36
5827,Newcastle,Liverpool,2,1,52.3,47.7,2,8,8,13,519,521,410,362,14,22,20,26,3,4,3,4,1,1,10,15,0,0,2007,36.34,8,12.74,14,52.44,27,23.94,28
5828,Portsmouth,Man City,2,1,50.2,49.8,7,2,19,7,498,470,305,316,25,15,43,28,13,8,4,7,3,3,14,13,0,0,2007,10.37,28,1.43,32,7.41,19,4.79,25
5829,Reading,Aston Villa,2,0,50.1,49.9,6,5,12,20,550,582,335,344,35,29,37,75,12,8,3,3,2,1,15,12,0,0,2007,10.52,25,0.0,19,28.16,17,2.08,18
5830,Sheffield Utd,Spurs,2,1,48.3,51.7,7,1,16,9,535,573,304,339,20,35,46,39,13,3,1,1,3,5,14,13,0,0,2007,20.55,35,3.79,38,69.54,23,44.06,23
5831,West Ham,Watford,0,1,61.3,38.7,2,4,24,11,536,384,349,219,16,23,35,42,10,4,2,7,4,2,19,24,0,0,2007,79.63,22,7.7,23,11.97,29,15.39,23
5823,Spurs,Man Utd,0,4,46.6,53.4,4,8,11,16,562,620,368,427,32,24,28,52,5,7,2,0,2,3,9,17,0,0,2007,69.54,23,44.06,23,31.01,25,20.52,29
5818,Liverpool,Everton,0,0,62.8,37.2,6,3,27,9,628,425,464,271,10,16,19,27,6,4,2,2,0,3,14,18,0,0,2007,52.44,27,23.94,28,20.41,11,2.85,16
5814,Aston Villa,West Ham,1,0,52.3,47.7,4,2,15,11,470,472,311,267,25,16,28,53,9,6,4,0,0,1,13,22,0,0,2007,28.16,17,2.08,18,79.63,22,7.7,23
5815,Blackburn,Sheffield Utd,2,1,70.3,29.7,6,2,14,12,593,300,407,156,10,16,39,39,7,6,2,0,0,4,18,20,1,0,2007,18.84,21,19.28,25,20.55,35,3.79,38
5816,Charlton,Chelsea,0,1,41.6,58.4,6,7,13,22,463,701,311,439,27,41,18,64,6,5,1,6,0,1,7,9,0,0,2007,24.68,31,2.59,36,101.43,23,59.96,22
5817,Fulham,Newcastle,2,1,50.7,49.3,6,2,15,8,524,494,343,334,18,23,30,16,8,6,3,3,1,3,12,15,0,0,2007,15.73,19,11.99,26,36.34,8,12.74,14
5819,Man City,Reading,0,2,61.2,38.8,5,3,16,7,527,375,367,237,29,21,18,32,5,6,3,1,0,0,14,14,0,0,2007,7.41,19,4.79,25,10.52,25,0.0,19
5821,Watford,Bolton,0,1,50.6,49.4,0,2,10,8,475,511,320,308,12,19,17,56,5,4,1,0,0,3,8,12,0,0,2007,11.97,29,15.39,23,19.38,16,4.39,16
5822,Wigan,Portsmouth,1,0,53.3,46.7,4,3,13,5,511,444,319,282,30,31,20,17,6,6,3,4,1,0,14,11,0,0,2007,29.24,23,27.73,25,10.37,28,1.43,32
5820,Middlesbrough,Arsenal,1,1,44.3,55.7,2,5,5,13,570,705,413,529,30,28,19,23,3,6,2,3,2,1,16,7,0,1,2007,12.88,20,5.33,24,17.1,18,14.85,21
5811,Chelsea,Blackburn,3,0,48.7,51.3,12,3,16,10,549,533,370,380,30,25,17,9,3,10,4,3,0,1,16,13,0,0,2007,101.43,23,59.96,22,18.84,21,19.28,25
